rect_type,N,trial,estimate
wide,100,0,0.874992
wide,100,1,0.777771
wide,100,2,1.06943
wide,100,3,0.972214
wide,100,4,0.972214
wide,100,5,0.972214
wide,100,6,1.16666
wide,100,7,0.68055
wide,100,8,1.65276
wide,100,9,0.972214
wide,100,10,1.16666
wide,100,11,0.486107
wide,100,12,1.06943
wide,100,13,1.16666
wide,100,14,1.16666
wide,100,15,0.486107
wide,100,16,0.972214
wide,100,17,0.68055
wide,100,18,1.3611
wide,100,19,1.06943
wide,100,20,0.972214
wide,100,21,0.874992
wide,100,22,0.68055
wide,100,23,0.583328
wide,100,24,0.777771
wide,100,25,1.3611
wide,100,26,1.26388
wide,100,27,0.777771
wide,100,28,0.972214
wide,100,29,1.16666
narrow,100,0,0.9875
narrow,100,1,0.9375
narrow,100,2,0.9375
narrow,100,3,0.975
narrow,100,4,0.9125
narrow,100,5,0.85
narrow,100,6,0.8875
narrow,100,7,0.8375
narrow,100,8,0.925
narrow,100,9,0.975
narrow,100,10,1
narrow,100,11,0.9625
narrow,100,12,0.95
narrow,100,13,0.9375
narrow,100,14,1.075
narrow,100,15,0.9375
narrow,100,16,0.975
narrow,100,17,0.8625
narrow,100,18,0.9625
narrow,100,19,1.0375
narrow,100,20,0.925
narrow,100,21,0.9375
narrow,100,22,0.925
narrow,100,23,0.825
narrow,100,24,1.025
narrow,100,25,0.9
narrow,100,26,0.95
narrow,100,27,0.9375
narrow,100,28,0.925
narrow,100,29,0.9375
wide,600,0,1.02082
wide,600,1,0.810178
wide,600,2,0.972214
wide,600,3,0.923603
wide,600,4,0.777771
wide,600,5,0.891196
wide,600,6,1.02082
wide,600,7,0.874992
wide,600,8,0.858789
wide,600,9,1.02082
wide,600,10,0.907399
wide,600,11,0.842585
wide,600,12,1.02082
wide,600,13,1.06943
wide,600,14,1.05323
wide,600,15,0.874992
wide,600,16,1.03703
wide,600,17,1.16666
wide,600,18,0.923603
wide,600,19,0.939806
wide,600,20,0.907399
wide,600,21,1.00462
wide,600,22,0.810178
wide,600,23,1.06943
wide,600,24,0.858789
wide,600,25,0.923603
wide,600,26,0.95601
wide,600,27,0.907399
wide,600,28,0.939806
wide,600,29,1.11805
narrow,600,0,0.90625
narrow,600,1,0.960417
narrow,600,2,0.95625
narrow,600,3,0.908333
narrow,600,4,0.929167
narrow,600,5,0.9375
narrow,600,6,0.970833
narrow,600,7,0.927083
narrow,600,8,0.975
narrow,600,9,0.95
narrow,600,10,0.954167
narrow,600,11,0.933333
narrow,600,12,0.935417
narrow,600,13,0.94375
narrow,600,14,0.972917
narrow,600,15,0.94375
narrow,600,16,0.9875
narrow,600,17,0.9375
narrow,600,18,0.927083
narrow,600,19,0.939583
narrow,600,20,0.960417
narrow,600,21,0.964583
narrow,600,22,0.975
narrow,600,23,0.941667
narrow,600,24,0.972917
narrow,600,25,0.98125
narrow,600,26,0.904167
narrow,600,27,0.972917
narrow,600,28,0.9375
narrow,600,29,0.920833
wide,1100,0,0.830801
wide,1100,1,0.821962
wide,1100,2,1.11363
wide,1100,3,0.963375
wide,1100,4,0.848477
wide,1100,5,0.883831
wide,1100,6,1.01641
wide,1100,7,0.928022
wide,1100,8,1.07827
wide,1100,9,0.848477
wide,1100,10,0.972214
wide,1100,11,0.93686
wide,1100,12,0.839639
wide,1100,13,1.00757
wide,1100,14,0.945699
wide,1100,15,0.919184
wide,1100,16,0.883831
wide,1100,17,0.963375
wide,1100,18,0.848477
wide,1100,19,0.901507
wide,1100,20,0.954537
wide,1100,21,0.821962
wide,1100,22,0.874992
wide,1100,23,0.910345
wide,1100,24,0.93686
wide,1100,25,0.777771
wide,1100,26,0.945699
wide,1100,27,0.892669
wide,1100,28,0.786609
wide,1100,29,1.16666
narrow,1100,0,0.936364
narrow,1100,1,0.932955
narrow,1100,2,0.959091
narrow,1100,3,0.944318
narrow,1100,4,0.936364
narrow,1100,5,0.928409
narrow,1100,6,0.948864
narrow,1100,7,0.940909
narrow,1100,8,0.944318
narrow,1100,9,0.934091
narrow,1100,10,0.957955
narrow,1100,11,0.946591
narrow,1100,12,0.964773
narrow,1100,13,0.948864
narrow,1100,14,0.940909
narrow,1100,15,0.913636
narrow,1100,16,0.943182
narrow,1100,17,0.942045
narrow,1100,18,0.976136
narrow,1100,19,0.947727
narrow,1100,20,0.927273
narrow,1100,21,0.979545
narrow,1100,22,0.922727
narrow,1100,23,0.959091
narrow,1100,24,0.923864
narrow,1100,25,0.927273
narrow,1100,26,0.956818
narrow,1100,27,0.945455
narrow,1100,28,0.956818
narrow,1100,29,0.939773
wide,1600,0,0.953985
wide,1600,1,0.86284
wide,1600,2,1.0026
wide,1600,3,0.91145
wide,1600,4,0.86284
wide,1600,5,0.923603
wide,1600,6,0.91145
wide,1600,7,0.899298
wide,1600,8,0.935756
wide,1600,9,0.953985
wide,1600,10,0.990443
wide,1600,11,0.929679
wide,1600,12,0.960061
wide,1600,13,0.935756
wide,1600,14,0.941832
wide,1600,15,0.947908
wide,1600,16,1.03905
wide,1600,17,0.899298
wide,1600,18,0.91145
wide,1600,19,0.874992
wide,1600,20,0.91145
wide,1600,21,0.923603
wide,1600,22,1.0026
wide,1600,23,0.941832
wide,1600,24,0.953985
wide,1600,25,0.887145
wide,1600,26,1.03298
wide,1600,27,1.05728
wide,1600,28,1.03905
wide,1600,29,0.966137
narrow,1600,0,0.964063
narrow,1600,1,0.935938
narrow,1600,2,0.939844
narrow,1600,3,0.950781
narrow,1600,4,0.932813
narrow,1600,5,0.952344
narrow,1600,6,0.9625
narrow,1600,7,0.924219
narrow,1600,8,0.942969
narrow,1600,9,0.945313
narrow,1600,10,0.964844
narrow,1600,11,0.944531
narrow,1600,12,0.924219
narrow,1600,13,0.946875
narrow,1600,14,0.946094
narrow,1600,15,0.939844
narrow,1600,16,0.944531
narrow,1600,17,0.939844
narrow,1600,18,0.94375
narrow,1600,19,0.958594
narrow,1600,20,0.925781
narrow,1600,21,0.951563
narrow,1600,22,0.96875
narrow,1600,23,0.9375
narrow,1600,24,0.946875
narrow,1600,25,0.936719
narrow,1600,26,0.944531
narrow,1600,27,0.932813
narrow,1600,28,0.935938
narrow,1600,29,0.963281
wide,2100,0,0.930547
wide,2100,1,0.944436
wide,2100,2,0.925918
wide,2100,3,0.907399
wide,2100,4,1.09258
wide,2100,5,1.04166
wide,2100,6,0.930547
wide,2100,7,0.995362
wide,2100,8,0.916659
wide,2100,9,1.03703
wide,2100,10,0.972214
wide,2100,11,0.916659
wide,2100,12,0.907399
wide,2100,13,0.976843
wide,2100,14,1.02777
wide,2100,15,0.976843
wide,2100,16,0.958325
wide,2100,17,1.03703
wide,2100,18,1.04166
wide,2100,19,0.967584
wide,2100,20,0.981473
wide,2100,21,0.874992
wide,2100,22,0.916659
wide,2100,23,0.976843
wide,2100,24,1.04629
wide,2100,25,1.00462
wide,2100,26,1.08795
wide,2100,27,0.888881
wide,2100,28,1.01388
wide,2100,29,0.884251
narrow,2100,0,0.959524
narrow,2100,1,0.970238
narrow,2100,2,0.957143
narrow,2100,3,0.941071
narrow,2100,4,0.925595
narrow,2100,5,0.939286
narrow,2100,6,0.949405
narrow,2100,7,0.93631
narrow,2100,8,0.942857
narrow,2100,9,0.948214
narrow,2100,10,0.931548
narrow,2100,11,0.942262
narrow,2100,12,0.924405
narrow,2100,13,0.938095
narrow,2100,14,0.954762
narrow,2100,15,0.953571
narrow,2100,16,0.938095
narrow,2100,17,0.924405
narrow,2100,18,0.932738
narrow,2100,19,0.949405
narrow,2100,20,0.95119
narrow,2100,21,0.939881
narrow,2100,22,0.947024
narrow,2100,23,0.927381
narrow,2100,24,0.955357
narrow,2100,25,0.925
narrow,2100,26,0.933333
narrow,2100,27,0.919048
narrow,2100,28,0.933929
narrow,2100,29,0.947024
wide,2600,0,0.972214
wide,2600,1,0.934821
wide,2600,2,0.882471
wide,2600,3,0.983431
wide,2600,4,0.983431
wide,2600,5,0.841339
wide,2600,6,0.957256
wide,2600,7,0.919864
wide,2600,8,0.931081
wide,2600,9,0.901167
wide,2600,10,0.968474
wide,2600,11,1.02456
wide,2600,12,0.964735
wide,2600,13,0.931081
wide,2600,14,0.863774
wide,2600,15,0.919864
wide,2600,16,0.848817
wide,2600,17,0.919864
wide,2600,18,0.863774
wide,2600,19,0.830121
wide,2600,20,0.860035
wide,2600,21,0.916124
wide,2600,22,0.964735
wide,2600,23,0.957256
wide,2600,24,1.05074
wide,2600,25,0.946039
wide,2600,26,0.904907
wide,2600,27,0.964735
wide,2600,28,0.845078
wide,2600,29,0.919864
narrow,2600,0,0.940385
narrow,2600,1,0.962019
narrow,2600,2,0.941346
narrow,2600,3,0.924519
narrow,2600,4,0.934615
narrow,2600,5,0.940865
narrow,2600,6,0.954808
narrow,2600,7,0.928365
narrow,2600,8,0.94375
narrow,2600,9,0.963462
narrow,2600,10,0.954327
narrow,2600,11,0.952404
narrow,2600,12,0.934615
narrow,2600,13,0.951442
narrow,2600,14,0.954808
narrow,2600,15,0.973077
narrow,2600,16,0.937019
narrow,2600,17,0.937981
narrow,2600,18,0.951442
narrow,2600,19,0.935577
narrow,2600,20,0.955288
narrow,2600,21,0.954327
narrow,2600,22,0.953365
narrow,2600,23,0.945192
narrow,2600,24,0.936538
narrow,2600,25,0.944231
